,id,url,verified,username,fullname,avatar,timestamp,text,links,isQuote,isRetweet,isReply,replyingTo,likes,replies,retweets,quotes,searchQuery,images,quotedTweet
610,1831792700305371392,https://twitter.com/TiffMoodNukes/status/1831792700305371385,True,@TiffMoodNukes,It's 🇺🇸 Tiff 🇺🇸,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1610663997254307842/LLBn6nIZ.jpg,2024-09-05 20:33:00+00:00,"IDGAF what any poll or political hack who buys his hair piece off Temu predicts, Trump will win!

TRUMP. WILL. WIN.",[],False,False,False,,923,83,128,2,Temu,,
611,1831703372694503680,https://twitter.com/CilliersB/status/1831703372694503561,True,@CilliersB,Cilliers Brink,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1821088768721346560/I3qhR_GF.jpg,2024-09-05 14:38:00+00:00,"MMC Themba Fosi is not focused on political grandstanding and claiming Temu social media victories. In our 18 months in office MMC Fosi has been at the forefront of driving upgrades of electricity networks in Soshanguve JJ 132KV Power Line, Ga-Rankuwa Zone 14, and regularly engages with communities. This may be confusing to people who came into the picture later on, but the work has been ongoing!",[],False,False,True,['/Action4SA'],186,12,45,1,Temu,,
612,1831588806270632192,https://twitter.com/Hlela_Lulubel/status/1831588806270632306,False,@Hlela_Lulubel,Cupcake “Cuppy” 😍😍😍,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1353217357905276929/vpKusez3.jpg,2024-09-05 07:02:00+00:00,The Temu crown is sold out 🤣🤣🤣🤣🤣 Y’all are childish and I’m here for it 🤣🤣🤣🤣🤣,[],False,False,False,,108,32,18,4,Temu,,
613,1831572047081693696,https://twitter.com/finalcutgod/status/1831572047081693633,True,@finalcutgod,finalcutgod,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1813451041553145856/Rhee9VAP.jpg,2024-09-05 05:56:00+00:00,this product is gonna get temu-fied SO FAST,[],False,False,True,['/scottyujan'],250,7,1,0,Temu,,
614,1831542659489341440,https://twitter.com/iamalmostlegend/status/1831542659489341492,True,@iamalmostlegend,Mr. Christopher,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1524182826798616577/pJHARZpr.jpg,2024-09-05 03:59:00+00:00,Temu Sammy Hagar even had to laugh at himself 😂,[],True,False,False,,37,12,7,1,Temu,,"{'url': 'https://twitter.com/TRIGGERHAPPYV1/status/1831364683586306491', 'avatar': '', 'username': '@TRIGGERHAPPYV1', 'fullname': 'Crime Net', 'timestamp': '2024-09-04T16:12:00.000Z', 'text': 'I’ll beat your what??', 'links': []}"
615,1831520215953264896,https://twitter.com/POLILLITAM/status/1831520215953264864,False,@POLILLITAM,G.M.🌊,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1421978023465730052/Kg6kM0wF.jpg,2024-09-05 02:30:00+00:00,This happens when you get a candidate from Temu.,[],False,False,True,"['/highbrow_nobrow', '/Acyn']",100,6,4,0,Temu,,
616,1831481860137910528,https://twitter.com/siyul/status/1831481860137910486,True,@siyul,Siyu Li,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/378800000591426757/d3d5da56f028fecae43b9ff65db4a316.jpeg,2024-09-04 23:57:00+00:00,"Holding opposing thoughts at the same time is a superpower. 

$DG $DLTR
1. In deep trouble, squeezed by $WMT and Temu, while its low-income clientele faces a tough time. 

2. Its strategically positioned bare-bone stores  (20k) reach corners few can replicate (not even $WMT), and Temu will be transient. 

1 or 2? it is a battle.","['https://twitter.com/search?q=%23DG', 'https://twitter.com/search?q=%23DLTR', 'https://twitter.com/search?q=%23WMT', 'https://twitter.com/search?q=%23WMT']",False,False,False,,8,6,0,0,Temu,,
617,1831469382473806336,https://twitter.com/shop_sapling/status/1831469382473806290,False,@shop_sapling,🌱 Sapling 🌱,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1766299949170606080/Raj0Z85S.jpg,2024-09-04 23:08:00+00:00,Just saw a tiktok of a girl who bought a croissant lamp off temu that was attracting ants because it was actually a REAL CROISSANT covered in resin. Please stop shopping at temu and just buy from a small business instead 😭,[],False,False,False,,122,7,18,1,Temu,,
618,1831391158439707136,https://twitter.com/Ridwan_Adebosin/status/1831391158439707094,True,@Ridwan_Adebosin,Ridwan Adebosin🏁💡,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1808275549535850496/2axKYyit.jpg,2024-09-04 17:57:00+00:00,"Watching those guys work in the block industry brought back memories. If I work for a day my pay is #1500 and I will still trek from Temu to Papa.🥹🥹 
Alhmadulillah!",[],True,False,False,,27,9,1,1,Temu,,"{'url': 'https://twitter.com/asher_kine/status/1831381557799702603', 'avatar': '', 'username': '@asher_kine', 'fullname': 'THE KINE 🌕🖤', 'timestamp': '2024-09-04T17:19:00.000Z', 'text': 'GOOD EVENING FROM EPE, NIGERIA. 📍', 'links': []}"
619,1831376208916811776,https://twitter.com/stephenescott2/status/1831376208916811787,False,@stephenescott2,Steve,https://cdn.xcancel.comhttps://pbs.twimg.com/profile_images/1128361825471488003/HviC_xli.jpg,2024-09-04 16:58:00+00:00,"Is temu any good 

Asking for me",[],False,False,False,,7,7,0,0,Temu,,
